Test set: 1455 sentences (1455 unique source)

Structured train: 3462 sentences, 0 test overlap

Found 93 train.tsv files

=====================================================================================
CONTAMINATION REPORT
=====================================================================================

Condition                                      Train  Overlap   %Test     Source
new_experiments/ablations/additive/ADD-M1M2     1292        0    0.0%          —
new_experiments/ablations/additive/ADD-M1M2M3   1944        0    0.0%          —
new_experiments/ablations/additive/ADD-M1M2M3M4   2597        0    0.0%          —
new_experiments/baselines/STRUCT4K-ALL-BASELINES   6664        0    0.0%          —
new_experiments/baselines/STRUCT4K-LENGTH2K     4563        0    0.0%          —
new_experiments/baselines/STRUCT4K-TFIDF2K      4568        0    0.0%          —
new_experiments/baselines/STRUCT4K-VOCAB2K      4568        0    0.0%          —

=====================================================================================
CLEAN conditions: 64
CONTAMINATED conditions: 29

⚠️  Contaminated conditions have test sentences in their training data.
   This inflates evaluation metrics. Options:
   1. Re-split: remove test sentences from train, retrain
   2. Re-evaluate: score only on non-overlapping test subset
   3. Disclose: note the overlap in the paper
=====================================================================================
